"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000261213",45.9316433055063,-8.60330559838193,1.05081994514088,3.69551707464248e-17,7.69318495587328e-16,"ENSG00000261213"
"ENSG00000224127",30.9954924489356,-8.86542594946328,0.914241775884095,4.1453919522884e-23,1.26850684011973e-21,"ENSG00000224127"
"ENSG00000132854",9.8411887039337,3.7310219256479,1.84218969076121,0.00114382641554626,0.00437742544215748,"ENSG00000132854"
"ENSG00000162616",332.560264576936,-0.614544916050497,0.187107472327806,0.000523021417756813,0.0021870148961752,"ENSG00000162616"
"ENSG00000285954",7.63043046631922,4.06443669821234,1.19052541846664,2.42038276088138e-05,0.000135656217511012,"ENSG00000285954"
"ENSG00000154027",239.212777682243,-1.58105481318791,0.365027227559164,6.89797913131058e-07,5.02598144521389e-06,"ENSG00000154027"
"ENSG00000116745",1.66040418590779,-3.84072812699151,1.74810862784798,0.000739700262760321,0.0029604732385907,"ENSG00000116745"
"ENSG00000172380",1773.52423158772,-1.46193831818005,0.336271735112736,7.06026018790851e-07,5.13549674293253e-06,"ENSG00000172380"
"ENSG00000116675",1157.44159309939,1.96347948172422,0.176517697423248,7.27521360205074e-30,3.4070926227763e-28,"ENSG00000116675"
"ENSG00000224149",72.544477284945,-9.03248612761846,0.875344191892172,7.36125704352053e-26,2.71138129066801e-24,"ENSG00000224149"
"ENSG00000213625",1328.54033800834,-1.14069918731298,0.252328308728055,6.33815924479018e-07,4.64401275004531e-06,"ENSG00000213625"
"ENSG00000203965",186.866729439471,0.501823050329422,0.126793443112904,5.00674527525011e-05,0.00026465484489828,"ENSG00000203965"
"ENSG00000153898",87.7372725109964,-9.37227344178005,0.765568303852813,2.10299094487511e-35,1.35471427412459e-33,"ENSG00000153898"
"ENSG00000117069",447.528208358683,1.05320499644259,0.451232505623013,0.00290278695454389,0.00991114212789502,"ENSG00000117069"
"ENSG00000230498",18.3851923634593,1.33344392647685,0.621100352741151,0.00286848629382221,0.00981533034797174,"ENSG00000230498"
"ENSG00000271576",160.263364562894,-0.893387009836689,0.375480630036635,0.00389224696112939,0.0127412876676624,"ENSG00000271576"
"ENSG00000162434",2741.68177031347,-0.999540313332127,0.231749199287322,2.66891073762903e-06,1.76432573073962e-05,"ENSG00000162434"
"ENSG00000137941",851.604222190609,1.63586748687515,0.270126095865631,5.87920240394301e-11,7.15104444748643e-10,"ENSG00000137941"
"ENSG00000116717",916.209324247598,-1.08302252922245,0.348919088734894,0.00024982882403811,0.00112911946233063,"ENSG00000116717"
"ENSG00000286548",5.46355989529295,2.2819865169704,0.868892833778202,0.000356823083220405,0.00155283736375665,"ENSG00000286548"
"ENSG00000272094",1.03828298670952,-1.98454622769076,1.4678370584345,0.0114402436161875,0.0319911199920199,"ENSG00000272094"
"ENSG00000232453",10.7259268255223,-1.96642470847871,0.463628990389209,1.0683784023677e-06,7.54272136892664e-06,"ENSG00000232453"
"ENSG00000117174",522.16586616232,-0.750234724593188,0.196094398117474,4.8162589417382e-05,0.000255615154141464,"ENSG00000117174"
"ENSG00000122420",223.536631672901,-6.62658922073085,0.604625216492076,1.23156713036262e-28,5.25894931527104e-27,"ENSG00000122420"
"ENSG00000097096",58.8052079864477,-9.80629171330644,0.852251178412822,1.11339064346602e-31,5.78250410487999e-30,"ENSG00000097096"
"ENSG00000142892",926.589026754819,-0.644088361474402,0.322908548962109,0.0195631106519549,0.049954492910942,"ENSG00000142892"
"ENSG00000287743",12.7035456888229,4.5079379098873,1.55012315198469,0.000111147733848158,0.000544297524043694,"ENSG00000287743"
"ENSG00000116641",1765.60688773723,1.00458936370309,0.258910664461534,1.70573594601267e-05,9.81492953102443e-05,"ENSG00000116641"
"ENSG00000235927",14.434512927182,-4.48731058171803,0.570523669417612,2.68349611306228e-16,5.24452277461046e-15,"ENSG00000235927"
"ENSG00000117480",240.033823254842,1.29211244086237,0.297214404878523,9.45662365236676e-07,6.73975274027535e-06,"ENSG00000117480"
"ENSG00000182183",3.2219967985567,3.67001598457632,1.73620941640314,0.000935885896578129,0.0036633666357255,"ENSG00000182183"
"ENSG00000142949",11342.6411349026,-1.97900985189037,0.412839115032689,8.34451968257393e-08,6.93313413648455e-07,"ENSG00000142949"
"ENSG00000116133",4116.53775959452,-0.993627531690564,0.326100758273937,0.000392557973589653,0.00169061456743382,"ENSG00000116133"
"ENSG00000171502",11.227159833301,-4.03473701741618,0.846249186848895,1.03204701770518e-07,8.46244726153835e-07,"ENSG00000171502"
"ENSG00000116157",449.479807813882,10.0279903562233,1.04820331915949,8.3697501710392e-23,2.51503033417844e-21,"ENSG00000116157"
"ENSG00000235613",1.05472402496943,1.87056781418576,1.40859329510135,0.0131156810119314,0.0358415683474891,"ENSG00000235613"
"ENSG00000065243",1297.09573916347,-0.542478425380351,0.120239191369343,3.99092609686003e-06,2.55990620730003e-05,"ENSG00000065243"
"ENSG00000225492",3.56031087517459,-5.32254793877548,1.09387718736838,8.86222914278585e-08,7.32677655294102e-07,"ENSG00000225492"
"ENSG00000287870",3.76940959035494,1.18981817413639,0.811429687915612,0.019291666518393,0.0493789680436255,"ENSG00000287870"
"ENSG00000235563",1.93514820477601,-4.45529290920269,1.47753950060212,8.23857691482274e-05,0.000416423371621593,"ENSG00000235563"
"ENSG00000236098",2.58175237734906,-5.22485326831426,1.10495215931664,1.64561754798251e-07,1.30721866030397e-06,"ENSG00000236098"
