"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","abs_log2FoldChange","entrez","symbol"
"ENSG00000075043",4481.58653685398,12.8403671004113,0.886593545442621,1.04592226954204e-49,1.31370462800764e-47,"ENSG00000075043",12.8403671004113,3785,"KCNQ2"
"ENSG00000214548",45147.8253488386,12.8044722953978,2.49850551256496,3.27019978503762e-10,3.69053110327235e-09,"ENSG00000214548",12.8044722953978,55384,"MEG3"
"ENSG00000158258",3286.49482493489,12.799750084022,1.53676354037698,3.23166138580519e-19,7.66887297553249e-18,"ENSG00000158258",12.799750084022,64084,"CLSTN2"
"ENSG00000167244",1471.87958456278,12.7866375492336,1.2704573498971,4.23953984604252e-26,1.58686716506671e-24,"ENSG00000167244",12.7866375492336,3481,"IGF2"
"ENSG00000069482",1229.59768064703,12.7767684481528,1.08371303705776,2.81651832599249e-34,1.68342577583928e-32,"ENSG00000069482",12.7767684481528,51083,"GAL"
"ENSG00000118523",4762.31255874436,-12.7503064317044,0.977057448593692,4.59206130702023e-41,3.93854538215544e-39,"ENSG00000118523",12.7503064317044,1490,"CCN2"
"ENSG00000197635",728.519122180603,-12.7184656634419,0.76467109009919,3.47417265497511e-64,8.69093241080815e-62,"ENSG00000197635",12.7184656634419,1803,"DPP4"
"ENSG00000166206",1316.52098264404,12.7003196347649,1.21913387169625,1.31620818515584e-27,5.36837683562408e-26,"ENSG00000166206",12.7003196347649,2562,"GABRB3"
"ENSG00000149948",1617.51103686019,-12.6883857898935,0.852159830802983,3.27342644517538e-52,4.50756827787705e-50,"ENSG00000149948",12.6883857898935,8091,"HMGA2"
"ENSG00000130294",4829.15490698724,12.6540223326243,0.776648887785933,1.02749476121966e-61,2.31912520579346e-59,"ENSG00000130294",12.6540223326243,547,"KIF1A"
"ENSG00000145920",3737.41809848381,12.6401248697225,1.32094542882961,6.84522198053399e-24,2.20242999607342e-22,"ENSG00000145920",12.6401248697225,10814,"CPLX2"
"ENSG00000164076",1157.72677842195,12.6357547158934,1.12948488407084,3.55324092611039e-31,1.7747876765542e-29,"ENSG00000164076",12.6357547158934,79012,"CAMKV"
"ENSG00000138829",1139.10756581965,-12.6218180940963,0.79034101411,1.98893931037598e-59,3.92802428672215e-57,"ENSG00000138829",12.6218180940963,2201,"FBN2"
"ENSG00000185352",1413.35679438765,12.6187943217924,1.34670638077224,4.62287103291826e-23,1.4103045278168e-21,"ENSG00000185352",12.6187943217924,266722,"HS6ST3"
"ENSG00000100077",2795.70857085129,12.6166360311532,1.00733530105336,4.63613499629738e-38,3.39444235253295e-36,"ENSG00000100077",12.6166360311532,157,"GRK3"
"ENSG00000120093",690.250080339795,-12.6132962639021,0.798243232434245,2.95495462781563e-58,5.47560388718502e-56,"ENSG00000120093",12.6132962639021,3213,"HOXB3"
"ENSG00000126890",871.6936809878,-12.6012612023123,0.783999706633125,3.91368394722039e-60,8.04690948024719e-58,"ENSG00000126890",12.6012612023123,30848,"CTAG2"
"ENSG00000112038",1051.70374397139,12.5931626956907,1.05244607451676,4.56123480794801e-35,2.88260437262719e-33,"ENSG00000112038",12.5931626956907,4988,"OPRM1"
"ENSG00000183654",1071.44391056748,12.5887893038965,1.07865511694923,1.50310809384989e-33,8.59462892748188e-32,"ENSG00000183654",12.5887893038965,441061,"MARCHF11"
"ENSG00000082684",1090.63715040203,12.5745209076019,1.11117639052496,9.05661205433411e-32,4.74468476891895e-30,"ENSG00000082684",12.5745209076019,54437,"SEMA5B"
"ENSG00000115380",2788.60700798585,-12.5594951150532,0.992681988911565,1.00735663078746e-38,7.7142445662267e-37,"ENSG00000115380",12.5594951150532,2202,"EFEMP1"
"ENSG00000130558",2228.32887874001,12.5493828906144,1.35114501781783,1.10260448221099e-22,3.28363928090196e-21,"ENSG00000130558",12.5493828906144,10439,"OLFM1"
"ENSG00000182986",1017.44124750304,12.5370403336331,1.06074112485226,2.82334562472973e-34,1.68342577583928e-32,"ENSG00000182986",12.5370403336331,162967,"ZNF320"
"ENSG00000100095",1063.64429798148,12.5270837643322,1.12104785665659,4.78601778553381e-31,2.37866668715131e-29,"ENSG00000100095",12.5270837643322,23544,"SEZ6L"
"ENSG00000165731",16888.6146003139,12.5210178385235,0.628409775983518,2.92138698939184e-90,1.68648300066449e-87,"ENSG00000165731",12.5210178385235,5979,"RET"
"ENSG00000105974",3759.17985560278,-12.4573810575729,1.02599028291526,6.53880308737814e-36,4.31402922813197e-34,"ENSG00000105974",12.4573810575729,857,"CAV1"
"ENSG00000234224",1448.7466156113,12.4544360281575,1.47406431818285,2.08199809123957e-19,5.00396322665498e-18,"ENSG00000234224",12.4544360281575,730130,"TMEM229A"
"ENSG00000121361",1040.85258055642,12.4299397889925,1.17408354179175,3.285196909413e-28,1.36969897255095e-26,"ENSG00000121361",12.4299397889925,3764,"KCNJ8"
"ENSG00000170091",3963.10290272591,12.4232427272338,1.07513479532608,7.24345450503309e-33,4.05673994004829e-31,"ENSG00000170091",12.4232427272338,51617,"NSG2"
"ENSG00000125730",1741.14959407672,-12.4157559498169,0.578010605513108,3.25762011005992e-104,2.9633484267845e-101,"ENSG00000125730",12.4157559498169,718,"C3"
"ENSG00000153071",1382.28285217042,-12.4110456658957,0.894330327655216,1.02840374642119e-45,1.09473943488716e-43,"ENSG00000153071",12.4110456658957,112267931,"DAB2"
"ENSG00000187714",1130.32015772612,12.4095345454177,1.27506284890356,1.98668989160879e-24,6.60698461175502e-23,"ENSG00000187714",12.4095345454177,6572,"SLC18A3"
"ENSG00000169083",353.210691234976,-12.4061518457725,0.758245603568101,4.59978680260112e-62,1.06216153867141e-59,"ENSG00000169083",12.4061518457725,367,"AR"
"ENSG00000160179",1225.54099491399,12.3973814155123,1.36126312000486,7.21057548600563e-22,2.03052781908446e-20,"ENSG00000160179",12.3973814155123,9619,"ABCG1"
"ENSG00000177511",985.76886153943,12.3951514596939,1.14146608882813,1.85722679021578e-29,8.42176601442411e-28,"ENSG00000177511",12.3951514596939,51046,"ST8SIA3"
"ENSG00000182742",353.951721357396,-12.3944433109598,0.775978426833098,2.55054469659365e-59,5.00423537562384e-57,"ENSG00000182742",12.3944433109598,3214,"HOXB4"
"ENSG00000174837",447.694250514792,-12.3837353217588,0.762752455600636,3.70643562014804e-61,8.06257180298725e-59,"ENSG00000174837",12.3837353217588,2015,"ADGRE1"
"ENSG00000259663",946.847057860747,12.36853408762,1.11743582117404,1.92441934121812e-30,9.30259971079336e-29,"ENSG00000259663",12.36853408762,642366,"ISL1-DT"
"ENSG00000139211",355.73387994077,-12.3318239106418,0.854750934738044,4.63243298534831e-49,5.60729862045044e-47,"ENSG00000139211",12.3318239106418,347902,"AMIGO2"
"ENSG00000140945",320.819320928363,-12.2684681477391,0.759840960828557,1.81346602452976e-60,3.83369271763091e-58,"ENSG00000140945",12.2684681477391,1012,"CDH13"
"ENSG00000164220",845.727196115613,-12.2618847361104,0.731428215567045,6.80833928717816e-65,1.7618925608776e-62,"ENSG00000164220",12.2618847361104,2151,"F2RL2"
"ENSG00000150630",400.675204597484,-12.2300079952702,0.758343673128096,2.56938665372986e-60,5.39373552156061e-58,"ENSG00000150630",12.2300079952702,7424,"VEGFC"
"ENSG00000215612",867.731757135076,12.2209214765642,1.13813816355186,8.61905808115803e-29,3.71213062465255e-27,"ENSG00000215612",12.2209214765642,3166,"HMX1"
"ENSG00000166741",397.454321764592,-12.1980809036545,0.783195315488615,1.73204978144809e-56,3.00545678550811e-54,"ENSG00000166741",12.1980809036545,4837,"NNMT"
